['20.031', '5.629']
['20.596', '5.525']
['17.349', '4.735']
['16.373', '4.337']
['18.325', '4.586']
['18.972', '4.936']
['19.343', '4.732']
['18.975', '5.223']
['17.018', '4.443']
['19.362', '4.884']
['19.419', '4.991']
['16.160', '4.544']
['18.509', '4.798']
['17.807', '5.049']
['15.927', '4.315']
['19.565', '5.370']
['18.696', '4.939']
['18.786', '4.832']
['20.372', '5.450']
['20.893', '5.180']
['20.786', '5.446']
['17.411', '4.253']
['19.064', '4.518']
['20.574', '5.006']
['21.561', '5.066']
['17.939', '4.766']
['20.164', '5.118']
['18.828', '4.679']
['16.995', '4.255']
['19.249', '5.143']
['17.850', '4.536']
['19.131', '5.022']
['18.491', '5.237']
['17.452', '4.787']
['20.669', '5.471']
['16.654', '4.496']
['21.301', '5.876']
['19.004', '5.061']
['18.212', '5.034']
['19.928', '5.353']
['20.838', '5.462']
['18.229', '5.015']
['16.897', '4.512']
['16.347', '4.331']
['20.372', '5.517']
['19.215', '5.244']
['21.593', '5.576']
['19.214', '5.051']
['18.110', '4.834']
['18.953', '4.706']
['20.839', '5.408']
['18.445', '5.009']
['18.112', '5.125']
['20.588', '5.628']
['20.738', '5.323']
['21.629', '5.472']
['19.414', '5.307']
['20.922', '5.705']
['18.443', '4.843']
['21.557', '5.465']
['19.105', '5.110']
['21.268', '5.645']
['16.628', '4.677']
['21.503', '5.533']
['16.360', '4.367']
['20.492', '5.380']
['18.156', '4.998']
['20.602', '5.624']
['20.377', '5.411']
['16.402', '4.485']
['16.148', '4.297']
['18.939', '4.648']
['21.130', '5.236']
['19.854', '5.204']
['21.338', '5.505']
['17.975', '4.794']
['18.110', '4.800']
['17.383', '4.428']
['20.876', '5.559']
['19.869', '5.397']
['18.083', '4.617']
['20.527', '5.005']
['18.406', '4.638']
['18.058', '4.669']
['22.527', '6.345']
['18.538', '4.850']
['19.243', '4.917']
['16.726', '4.243']
['19.029', '4.666']
['19.088', '4.925']
['19.004', '4.952']
['20.471', '5.180']
['18.124', '4.676']
['18.196', '4.909']
['19.348', '4.877']
['18.676', '4.941']
['20.431', '5.141']
['20.833', '5.270']
['21.306', '5.529']
['16.285', '4.222']
['19.123', '5.312']
['20.588', '5.565']
['19.026', '4.833']
